Company,Phone,Industry,City,Address,Score,Rating,Reviews,Hours,Tier,Status,SMS_Sent,Email_Sent,Call_Date,Call_Result,Notes,Gumption_ColdCall
ArborTech Inc.,510-871-8788,Tree Service,Hayward,"1310 Ruus Ln, Hayward 94544",85,5.0,135,24/7,HOT,pending,,,,,,"yes"
Saunders Tree Service Inc,925-200-9057,Tree Service,Hayward,"22844 Alice St, Hayward 94541",80,4.9,78,24/7,HOT,pending,,,,,,"yes"
Castillo Tree Service Inc,510-792-6590,Tree Service,Hayward,"25798 Franklin Ave, Hayward 94544",80,4.8,51,24/7,HOT,pending,,,,,,"yes"
Graham Tree Services Inc,510-383-9585,Tree Service,San Leandro,"520 Doolittle Dr, San Leandro 94577",80,4.7,49,24/7,HOT,pending,,,,,,"yes"
Boyett Concrete Inc,510-264-9100,Concrete,Hayward,"2404 Tripaldi Way, Hayward 94545",75,4.9,16,24/7,HOT,pending,,,,,,"yes"
LS Trucking Inc.,510-266-5213,Trucking,Hayward,"1774 W Winton Ave, Hayward 94545",75,4.3,15,24/7,HOT,pending,,,,,,"yes"
Daylight Transport,800-468-9999,Trucking/LTL,Hayward,"2340 Industrial Pkwy W, Hayward 94545",70,3.6,98,Business,HOT,pending,,,,,,"yes"
Baystar Trans Inc,510-586-9300,Trucking,Hayward,,68,,,24/7,WARM,pending,,,,,,"yes"
Rangel Concrete,510-292-6207,Concrete,San Lorenzo,,65,,,24/7,WARM,pending,,,,,,"yes"
Mag Trucking,510-782-8801,Trucking,Hayward,,65,,,24/7,WARM,pending,,,,,,"yes"
Cato's Paving,510-397-2677,Asphalt/Paving,Hayward,,65,,,24/7,WARM,pending,,,,,,"yes"
Estes Express Lines,510-635-0165,LTL Freight,San Leandro,,65,,,Business,WARM,pending,,,,,,"yes"
Saia LTL Freight,510-347-6890,LTL Freight,San Leandro,,65,,,Business,WARM,pending,,,,,,"yes"
DHE Dependable Highway Express,510-357-2223,LTL,San Leandro,,65,,,Business,WARM,pending,,,,,,"yes"
Maguire Tree Care,650-844-2046,Tree Service,San Carlos,,65,,,24/7,WARM,pending,,,,,,"yes"
10-4 Tow Of San Leandro,510-633-2727,HD Towing,San Leandro,,63,,,24/7,WARM,pending,,,,,,"yes"
Roadstar Trucking Inc,510-487-2404,Trucking,Hayward,,60,,,24/7,WARM,pending,,,,,,"yes"
Munoz Transport Service,510-385-9206,Trucking,Hayward,,60,,,24/7,WARM,pending,,,,,,"yes"
American Asphalt R&R,510-723-0280,Asphalt,Hayward,,60,,,Business,WARM,pending,,,,,,"yes"
Rose Paving,510-770-1150,Asphalt,Hayward,,60,,,Business,WARM,pending,,,,,,"yes"
Malcolm Drilling,510-780-9181,Drilling/Excavation,Hayward,,60,,,Business,WARM,pending,,,,,,"yes"
GreenWaste Hayward Transfer,510-606-1548,Waste,Hayward,,60,,,Business,WARM,pending,,,,,,"yes"
